Text,Sense
आज कल यह बीमारी आम है ,4
आम तौर पर यह परिवार खुशहाल है ,4
लोगो को मास्क पहनना आजकल आम है ,4
आम फलों का राजा है ,1
गर्मी में आम मिलता है ,1
यह आम की लकड़ी है ,2
उनसे बात करना सभी लोगो के लिए आम है ,4
इस मौसम में आम बहुत मिलता है ,1
लोग आम के पते का पूजा में इस्तेमाल करते है ,2
यह आम रास्ता नहीं है ,4
उनके पास आम के पेड़ है ,2
प्रधान मंत्री से मिलना आम बात नहीं है ,3
तोता पेड़ पैर बैठ कर आम खा रहा था ,1
कल आम सभा का आयोजन किया जायगा,4
आम आदमी महंगाई के मार से परेशान है ,4
वे आम भारतीय रचनाकार है ,3
उनका हिस्सा आम तौर पर आधा होना चाहिए ,4
इसके लिए आम डाक्टरी इलाज सम्भव नहीं है ,3
लोगो के आम हालत में बहुत सुधार हुआ है ,3
उनको आम नेताओ में नहीं गिना जा सकता ,3
उसका प्रदर्शन आम लोगो से बेहतर है,3
कल रात मैं खाने के बाद आम खाया   ,1
मुझे आम लोगो जैसा नहीं बनाना है ,3
मेरी माँ आम का आचार बहुत अच्छा बनाती थीं ,1
कल पुरे दिन आम आदमी के लोग छाए रहें ,4
आज कल आम लोग डरे हुए है ,4
देश की आजादी में आम से खास दोनों को सहयोग रहा ,3
क्या तुमने आम खाया था ,1
आम के पेड़ का बहुत उपयोग है ,2
क्या इस बार आम लोगो के लिए बजट मैं कुछ है ,3
उसका सोच आम लोगो जैसा नहीं है ,3
आज पुरे दिन आम लोगो की ही चर्चा होती रही ,3
इस बार आम आदमी का कुछ भी सहयोग नहीं रहा सरकार बनाने में ,3
सरकार को आम आदमी की आवाज सुनना चाहिए ,3
इमरजेंसी में आम आदमी को बहुत परेशानी का सामना करना पड़ा ,3
क्या मुझे भी आम लोगो जैसा बनाना है ,3
क्या पता वो आम का पेड़ हो ,2
कुछ लोग आम का पेड़ को नहीं पहचानते है ,2
आम की लकड़ी बहुत हीं उपयोगी होती है ,2
मैं कल पेड़ से आम तोड़ कर लाया ,1
सरकार को आम लोगो के बारे में सोचना चाहिए ,3
